algo,map_name,map_size,num_agents,obstacle_density,success_rate
G2RL,map_0,32,2,0.1,0.7157190635451505
G2RL,map_1,32,2,0.3,0.7792642140468228
G2RL,map_10,32,8,0.5,0.959866220735786
G2RL,map_11,32,8,0.7,0.9966555183946488
G2RL,map_12,32,16,0.1,0.68561872909699
G2RL,map_13,32,16,0.3,0.6622073578595318
G2RL,map_14,32,16,0.5,0.9364548494983278
G2RL,map_15,32,16,0.7,0.8963210702341137
G2RL,map_16,64,2,0.1,0.8862876254180602
G2RL,map_17,64,2,0.3,0.9230769230769231
G2RL,map_18,64,2,0.5,0.919732441471572
G2RL,map_19,64,2,0.7,0.979933110367893
G2RL,map_2,32,2,0.5,0.9966555183946488
G2RL,map_20,64,4,0.1,0.6755852842809364
G2RL,map_21,64,4,0.3,0.8795986622073578
G2RL,map_22,64,4,0.5,0.882943143812709
G2RL,map_23,64,4,0.7,0.979933110367893
G2RL,map_24,64,8,0.1,0.7090301003344481
G2RL,map_25,64,8,0.3,0.8193979933110368
G2RL,map_26,64,8,0.5,0.903010033444816
G2RL,map_27,64,8,0.7,0.9899665551839465
G2RL,map_28,64,16,0.1,0.5384615384615384
G2RL,map_29,64,16,0.3,0.8327759197324415
G2RL,map_3,32,2,0.7,0.9665551839464883
G2RL,map_30,64,16,0.5,0.9498327759197325
G2RL,map_31,64,16,0.7,0.9933110367892977
G2RL,map_32,96,2,0.1,0.8294314381270903
G2RL,map_33,96,2,0.3,0.903010033444816
G2RL,map_34,96,2,0.5,0.9632107023411371
G2RL,map_35,96,2,0.7,1.0
G2RL,map_0,32,2,0.1,0.7959866220735786
G2RL,map_1,32,2,0.3,0.7859531772575251
G2RL,map_10,32,8,0.5,0.959866220735786
G2RL,map_11,32,8,0.7,1.0
G2RL,map_12,32,16,0.1,0.5150501672240803
G2RL,map_13,32,16,0.3,0.7157190635451505
G2RL,map_14,32,16,0.5,0.9331103678929766
G2RL,map_15,32,16,0.7,0.903010033444816
G2RL,map_16,64,2,0.1,0.7658862876254181
G2RL,map_17,64,2,0.3,0.8595317725752508
G2RL,map_18,64,2,0.5,0.9096989966555183
G2RL,map_19,64,2,0.7,0.9866220735785953
G2RL,map_2,32,2,0.5,1.0033444816053512
G2RL,map_20,64,4,0.1,0.6923076923076923
G2RL,map_21,64,4,0.3,0.8929765886287625
G2RL,map_22,64,4,0.5,0.9531772575250836
G2RL,map_23,64,4,0.7,0.9832775919732442
G2RL,map_24,64,8,0.1,0.5719063545150501
G2RL,map_25,64,8,0.3,0.8795986622073578
G2RL,map_26,64,8,0.5,0.8963210702341137
G2RL,map_27,64,8,0.7,0.9899665551839465
G2RL,map_28,64,16,0.1,0.5953177257525084
G2RL,map_29,64,16,0.3,0.7424749163879598
G2RL,map_3,32,2,0.7,0.9665551839464883
G2RL,map_30,64,16,0.5,0.9063545150501672
G2RL,map_31,64,16,0.7,0.9765886287625418
G2RL,map_32,96,2,0.1,0.8762541806020067
G2RL,map_33,96,2,0.3,0.9063545150501672
G2RL,map_34,96,2,0.5,0.939799331103679
G2RL,map_35,96,2,0.7,0.9866220735785953
G2RL,map_36,96,4,0.1,0.6622073578595318
G2RL,map_37,96,4,0.3,0.8528428093645485
G2RL,map_38,96,4,0.5,0.939799331103679
G2RL,map_39,96,4,0.7,0.782608695652174
G2RL,map_4,32,4,0.1,0.7123745819397993
G2RL,map_40,96,8,0.1,0.6254180602006689
G2RL,map_41,96,8,0.3,0.8662207357859532
G2RL,map_42,96,8,0.5,0.9632107023411371
G2RL,map_43,96,8,0.7,0.9431438127090301
G2RL,map_44,96,16,0.1,0.5986622073578596
G2RL,map_45,96,16,0.3,0.7123745819397993
G2RL,map_46,96,16,0.5,0.9364548494983278
G2RL,map_47,96,16,0.7,0.9732441471571907
G2RL,map_48,128,2,0.1,0.782608695652174
G2RL,map_49,128,2,0.3,0.822742474916388
G2RL,map_5,32,4,0.3,0.8729096989966555
G2RL,map_50,128,2,0.5,0.8963210702341137
G2RL,map_51,128,2,0.7,1.0033444816053512
G2RL,map_52,128,4,0.1,0.6789297658862876
G2RL,map_53,128,4,0.3,0.8561872909698997
G2RL,map_54,128,4,0.5,0.9364548494983278
G2RL,map_55,128,4,0.7,1.0033444816053512
G2RL,map_56,128,8,0.1,0.6321070234113713
G2RL,map_57,128,8,0.3,0.8996655518394648
G2RL,map_58,128,8,0.5,0.9096989966555183
G2RL,map_59,128,8,0.7,0.9832775919732442
G2RL,map_6,32,4,0.5,0.9264214046822743
G2RL,map_60,128,16,0.1,0.6287625418060201
G2RL,map_61,128,16,0.3,0.7424749163879598
G2RL,map_62,128,16,0.5,0.9464882943143813
G2RL,map_63,128,16,0.7,0.9632107023411371
G2RL,map_7,32,4,0.7,0.9665551839464883
G2RL,map_8,32,8,0.1,0.4882943143812709
G2RL,map_9,32,8,0.3,0.7993311036789298
