feature,weight
f0,-0.03184707762006698
f1,0.15591065049537586
f2,-0.004623940210228863
f3,-0.0027503525589372326
f4,-0.000552962340980079
f5,-0.007457824704666719
f6,0.005097611084155424
f7,0.16152513438830654
f8,0.029085053119058228
f9,-0.020515644258384653
f10,0.0015444361828453772
f11,-2.321742728347495e-05
f12,0.08031910723535435
f13,0.0016602789813418787
f14,0.013040027315825502
f15,-0.02233348050836323
f16,-0.013268436614607856
f17,0.0004777524522932451
f18,-0.014119781351996024
f19,-4.2679221697986686e-05
f20,-0.025198032503278595
f21,-0.003680223801128585
f22,0.12067052747968904
f23,0.0009401167635900375
f24,0.1536623289868275
f25,-0.19435338776390304
f26,0.21152932487986142
f27,-0.07586686507098697
f28,0.04773989675350647
f29,-0.0717914611296982
f30,-8.653132800486149e-05
f31,-0.004833402090252459
f32,0.05529574660096958
f33,-0.012174462780005215
f34,0.03398937015489953
f35,-0.0853590904356693
f36,-0.19261482707427988
f37,0.0401330449268386
f38,0.11041936153861913
f39,0.2500420718860053
f40,-0.4536283425914167
f41,-0.24879926727881124
f42,0.07744854598602549
f43,-0.015542294108211837
f44,0.2153622086490694
f45,0.3712959771446074
f46,-0.17222228110786564
f47,0.0005051669542493968
f48,-0.00042285284357570157
f49,-0.000596035812134279
f50,-0.0010389035152442937
f51,0.046902054560637355
f52,0.07235769047102382
f53,0.020295935874496348
f54,-0.0003912924888815632
f55,-0.0011482384601763619
f56,0.0009573998031153534
f57,0.08803122145916034
f58,0.06274526781999117
f59,0.0036197158625633267
f60,-0.0006397576277041177
f61,0.00016514636527939416
f62,0.013083637625258528
f63,0.0025525179688214673
f64,-0.0012871471814049932
f65,0.0009272837814142601
f66,0.22252503057499698
f67,0.1021215981603838
f68,0.009123474233154927
f69,-0.15609526674111207
f70,-0.018747221540089103
f71,0.0010348828119285736
f72,0.1264743138474955
f73,0.12552858844472567
f74,-0.07190386290355238
f75,0.041301850230748866
f76,0.023311744761134054
f77,-0.09151406425941688
f78,0.0014258132983680921
f79,0.022326130660928305
f80,3.9983112162078616e-05
f81,-3.749941792592637e-06
f82,-0.006540689214615897
f83,0.03219297046603242
f84,-0.041893549795661705
f85,0.0003056117966676458
f86,-0.094617000432235
f87,-0.000596577561712136
f88,0.026541645977274327
f89,-3.0161425085717397e-05
f90,-0.00040326222093448744
f91,-0.03283885278223591
f92,0.052468695778801325
f93,-0.00015702859388587123
f94,-0.5527790342877051
f95,-0.013078781352012776
f96,0.03702436095705553
f97,-0.013873036831046289
f98,0.162425650160258
f99,0.006518099584052792
f100,-0.44331778919142667
f101,-0.2701838581462494
f102,-0.00011026922162398125
f103,-0.40670341257052794
f104,-0.0078037470268837355
f105,0.11708326474428916
f106,0.013364653419855797
f107,-0.13628586485887015
f108,-0.011651529389465398
f109,-0.5179854230501143
f110,-0.23177517275511092
f111,-1.5473081813431225e-05
f112,-0.01975517644827829
f113,-0.00036448958359065753
f114,0.0006032432261658693
f115,0.0026620984376972984
f116,0.08825411893132383
f117,0.008963553391811485
f118,-0.035555649707036154
f119,-0.013074313301158701
f120,-0.00022086996789944086
f121,-1.0736288054487702
f122,-0.015060700522583823
f123,-0.012059541033583423
f124,0.03847172452613383
f125,-0.03109251014728705
f126,0.002007462929032186
f127,-0.7451916868800705
f128,-0.29996130046285335
f129,1.819554211773491e-05
f130,0.15606698840214794
f131,-0.014658552374929423
f132,0.026347543149001593
f133,0.08718765645218049
f134,0.05190536452040339
f135,-3.255850578025299e-05
f136,0.21940287244713547
f137,0.02586007375745869
f138,0.0018641089896711505
f139,0.009580498560092328
f140,0.05076580134248481
f141,0.005789113226447057
f142,0.21491279478206063
f143,-0.6319266063320117
f144,0.007153228488113748
f145,-0.4263496035020295
f146,-0.3127240538952592
f147,0.0004655273455313272
f148,0.38658190669286574
f149,-0.4569984302434925
f150,-0.19875008769040786
f151,-0.19801133101964072
f152,-0.29682313068121213
f153,-0.018700797287275958
f154,0.030561714447022888
f155,0.15524098588408597
f156,-0.0013126699926023805
f157,0.4322609491575314
f158,-0.3133792561848094
f159,0.015584648382982874
f160,0.0955040702682753
f161,0.22857430018609656
f162,0.007802968314025181
f163,-0.028785201788124992
f164,-0.1722929014100073
intercept,2.545256355323815
